,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"3. ""Climate change action is urgent and requires immediate government intervention.""",1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
"4. ""Personal responsibility is key to reducing dependence on welfare programs.""",4,4,4,4,5,4,5,4,5,4,4,4,4,1,5,4,4,4,5,4,4,5,4,5
"5. ""Affordable healthcare should be a right, not a privilege, for every citizen.""",1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
"6. ""Strong national defense is essential to protect our country's interests.""",4,5,5,5,5,4,5,4,4,4,4,4,4,2,5,5,5,5,4,5,5,5,5,4
"7. ""Increasing the minimum wage will lift many working families out of poverty.""",2,1,1,1,1,1,1,1,2,2,1,1,2,4,1,1,1,1,1,2,1,2,1,2
"8. ""Tax cuts for corporations drive innovation and economic growth.""",5,4,5,5,5,5,5,5,5,5,5,5,4,2,5,5,5,5,5,5,5,5,5,5
"9. ""Social justice reforms are needed to address systemic inequality.""",1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
"10. ""Immigration policies should prioritize skilled workers to enhance the economy.""",4,4,4,3,4,4,4,4,4,3,3,4,4,2,4,4,4,4,4,4,4,4,4,3
"11. ""Renewable energy investment is critical to reducing our carbon footprint.""",1,1,1,1,1,1,1,1,2,2,1,1,2,4,1,1,1,1,1,1,1,1,1,1
"12. ""School choice gives parents the ability to provide the best education for their children.""",4,1,4,4,5,4,5,4,4,3,4,4,4,2,5,4,4,4,2,2,3,4,4,4
"13. ""Wealth redistribution through progressive taxation is necessary for a fair society.""",1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
"14. ""Protecting gun rights ensures citizens can defend themselves and their property.""",4,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,5,5,5,5,5,5,5,5
"15. ""The government should play a larger role in managing the economy to prevent crises.""",2,2,1,2,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2
"16. ""Voter ID laws are essential to maintaining the integrity of our elections.""",4,4,5,4,5,4,5,5,4,4,4,4,4,1,4,5,5,5,5,5,4,5,5,5
"17. ""Labor unions are vital for protecting workers' rights and ensuring fair wages.""",2,1,1,1,2,1,1,1,2,2,2,1,2,4,1,1,1,1,1,1,1,2,1,1
"18. ""Prison reform is necessary to reduce recidivism and promote rehabilitation.""",3,3,3,2,1,1,2,2,2,2,2,2,2,4,1,2,1,2,1,1,1,2,2,2
"19. ""Reducing government spending is crucial to lowering the national debt.""",4,4,5,5,5,4,5,5,4,4,4,4,4,1,5,4,4,4,5,5,5,5,5,4
"20. ""Healthcare should be managed privately rather than through government programs.""",5,4,5,5,5,4,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5
"21. ""Support for renewable energy industries will create jobs and promote sustainability.""",1,1,1,1,1,2,1,2,2,2,1,1,2,4,1,1,1,1,1,1,1,2,1,2
"22. ""Deregulation is necessary to spur economic growth and create jobs.""",4,4,5,5,5,5,5,5,5,5,5,5,4,2,5,5,5,5,5,5,5,5,5,4
"23. ""Universal basic income could address poverty and stabilize the economy.""",1,1,1,1,2,1,2,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1
"24. ""Military spending should be increased to ensure national security.""",4,4,5,5,5,5,5,5,5,5,4,5,4,1,4,5,5,5,5,5,5,5,5,5
"25. ""Equality in marriage laws is a fundamental human right.""",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1. ""The market update revealed some trends and patterns over the last quarter.""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2. ""After months of dedication, their effort finally paid off, and they were elated.""",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"3. ""He calmly explained the procedure and answered all their questions.""",1,2,1,2,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1
"4. ""Upon seeing the new design, she couldn't hide her amazement.""",3,3,3,4,5,4,3,3,4,4,4,4,4,3,4,4,4,4,3,3,3,4,4,3
"5. ""The news of the disaster left everyone in a state of shock and disbelief.""",4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5
"6. ""The results of the experiment were somewhat surprising.""",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"7. ""His heartfelt speech moved the audience, leaving many in tears.""",4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,4,5,4
"8. ""She felt a slight sense of unease but proceeded with her plans.""",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"9. ""The team celebrated their victory with exuberant enthusiasm.""",4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4
"10. ""The meeting was productive, yet it didn't spark much excitement.""",2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1
"11. ""The tragic accident cast a pall over the entire community.""",3,4,4,5,4,5,4,5,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4
"12. ""His casual remark sparked a heated debate among the participants.""",4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3
"13. ""The serene landscape brought a sense of peace and tranquility.""",3,2,3,4,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,2,2,3,2,3
"14. ""Winning the game was a thrilling moment for all the players.""",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"15. ""The film was quite enjoyable, eliciting smiles and laughter from the viewers.""",3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
"16. ""Hearing the bad news, he felt a wave of overwhelming sadness.""",4,4,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5
"17. ""The surprise party filled her with immense joy and gratitude.""",4,4,5,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,4,5,5,4,4,4
"18. ""The article discussed the economic implications of the recent policy change.""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19. ""Receiving the award was a moment of profound pride for him.""",3,3,3,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,3,4,4
"20. ""The monotonous lecture failed to engage the students.""",2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,1,1,2,1,2
"21. ""The betrayal left her feeling utterly devastated and heartbroken.""",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"22. ""The concert was electrifying, leaving the audience buzzing with energy.""",4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,4,4,5,4,5
"23. ""His resignation was a calculated move, done without much emotional turmoil.""",1,2,1,2,2,2,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1
"24. ""Their adventurous journey was filled with excitement and unforeseen challenges.""",4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3
"25. ""The quiet evening at home provided a welcome sense of relaxation.""",2,2,2,3,3,3,2,3,3,3,2,3,2,3,2,3,3,3,2,2,2,2,2,2
"1. ""Wonderful, my favorite show is cancelled.""",2,3,3,4,5,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4
"2. ""You did an absolutely amazing job of making me late.""",3,3,3,5,4,5,4,4,5,4,4,4,4,3,4,4,4,4,5,4,4,4,5,5
"3. ""This is just the best weather for a picnic—rainy and cold.""",3,4,4,4,4,5,4,4,4,4,5,4,4,1,4,4,4,4,4,5,5,4,4,4
"4. ""Oh, I really wanted to get stuck in traffic for hours.""",3,4,3,4,4,4,4,4,4,5,4,3,4,1,2,4,4,4,4,4,4,4,4,4
"5. ""The food at this restaurant is to die for—especially if you want foodpoisoning.""",4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5
"6. ""I love how you never listen to a word I say.""",3,3,4,5,4,4,5,4,4,3,4,3,3,1,3,4,4,4,3,3,3,4,3,3
"7. ""Great, because we needed another broken appliance in this house.""",3,3,3,4,4,5,4,4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4
"8. ""Perfect, just what I needed—a flat tire.""",3,3,3,4,5,5,4,4,4,5,5,4,4,3,3,4,4,4,4,4,4,4,4,4
"9. ""Yeah, right, like that’s ever going to happen.""",2,3,2,3,5,4,3,3,4,4,3,3,4,3,4,4,4,4,4,4,3,5,5,3
"10. ""I can’t imagine a more thrilling way to spend my weekend.""",2,3,3,5,5,3,4,4,4,3,4,2,4,1,4,4,4,4,4,4,3,4,4,4
"11. ""Sure, it’s completely fine to miss all the deadlines.""",3,3,3,5,4,5,4,3,4,3,4,1,4,3,3,4,4,4,4,4,4,5,4,3
"12. ""You've really outdone yourself this time.""",2,3,2,2,2,4,3,3,5,3,3,3,4,4,4,4,5,4,3,3,3,5,5,4
"13. ""Why don't you tell me more about how perfect your life is?""",3,4,4,3,5,4,4,3,3,4,3,4,4,3,4,4,5,4,4,4,3,5,4,3
"14. ""Fantastic, another cold call. Just what I was hoping for.""",3,4,4,4,5,5,4,4,4,4,4,4,4,3,4,4,4,4,5,5,4,4,4,4
"15. ""I’m absolutely ecstatic about this mandatory meeting.""",5,4,5,5,5,5,4,4,4,4,4,4,4,1,5,4,4,4,4,4,4,4,4,4
"16. ""Oh, please, go on. Your stories are so riveting.""",4,4,4,5,4,3,4,4,5,4,5,4,4,1,5,4,5,4,5,5,3,4,4,5
"17. ""I just love when my computer crashes—makes my day.""",4,4,5,4,5,5,4,4,4,5,5,5,4,1,4,4,4,4,4,4,4,5,4,4
"18. ""So happy to have more homework tonight.""",2,3,3,4,5,4,4,3,4,5,4,4,4,1,4,4,4,4,4,4,4,4,3,4
"19. ""Of course, I love being ignored.""",3,3,4,4,5,4,5,4,4,4,5,4,4,3,3,4,4,4,3,4,3,4,3,3
"20. ""Wow, because working late is my favorite thing to do.""",4,3,3,4,5,5,4,4,4,5,4,4,4,1,3,4,4,4,4,4,4,4,4,4
"21. ""Right, because running out of coffee is exactly what I needed today.""",4,4,4,5,4,5,4,4,4,5,5,4,4,1,3,4,4,4,4,4,4,4,4,4
"22. ""You’ve solved all the world’s problems with that suggestion.""",4,3,3,5,5,3,5,4,5,4,5,5,4,1,4,4,5,4,3,3,3,4,5,5
"23. ""Clearly, you’re the best driver here.""",3,3,3,3,2,5,5,5,5,4,4,3,4,1,4,4,5,4,4,4,3,5,3,4
"24. ""Just what I wanted, another spam email.""",3,3,4,5,5,5,4,4,4,5,4,4,4,1,3,4,4,4,5,5,3,4,3,4
"25. ""Oh, I really wanted to redo all my work today.""",3,3,3,4,5,5,4,4,4,5,4,4,4,3,3,4,4,4,4,5,4,4,4,4
